Country,DevType,WorkRemote,Count,WorkWeekHrs,JobSat,CareerSat
Australia,Academic researcher,2.032258064516129,62,4.666666666666667,3.753846153846154,3.8970588235294117
Australia,Data or business analyst,1.7377622377622377,143,4.681818181818182,3.6223776223776225,3.793103448275862
Australia,Data scientist & ML,1.8,60,4.672413793103448,3.7,3.9344262295081966
Australia,Database administrator,1.9827586206896552,145,4.553956834532374,4.048611111111111,4.054421768707483
Australia,DevOps specialist,1.7272727272727273,22,4.7,3.772727272727273,3.909090909090909
Australia,"Developer, back-end",1.6494117647058824,425,4.769028871391076,3.779342723004695,4.0389908256880735
Australia,"Developer, front-end",1.6435643564356435,101,4.882978723404255,3.9223300970873787,4.271844660194175
Australia,"Developer, full-stack",1.6724683544303798,316,4.8,3.8144654088050314,4.108695652173913
Brazil,Academic researcher,1.884180790960452,177,4.58641975308642,3.5028248587570623,3.727272727272727
Brazil,Data or business analyst,1.625,124,4.5344827586206895,3.5365853658536586,3.732283464566929
Brazil,Data scientist & ML,1.7638888888888888,36,4.571428571428571,3.5555555555555554,3.975
Brazil,Database administrator,1.8775510204081634,98,4.440860215053763,3.306122448979592,3.64
Brazil,DevOps specialist,2.3125,8,4.571428571428571,4.0,4.375
Brazil,"Developer, back-end",1.795269168026101,613,4.6677908937605395,3.42671009771987,3.6140350877192984
Brazil,"Developer, front-end",1.8082191780821917,73,4.732394366197183,3.5616438356164384,3.7948717948717947
Brazil,"Developer, full-stack",1.6348920863309353,278,4.6513409961685825,3.4928057553956835,3.679856115107914
Canada,Academic researcher,2.034188034188034,117,4.621359223300971,3.8813559322033897,4.0
Canada,Data or business analyst,1.922279792746114,193,4.52906976744186,3.715025906735751,4.01530612244898
Canada,Data scientist & ML,2.188888888888889,90,4.604651162790698,4.0,4.086021505376344
Canada,Database administrator,2.101769911504425,226,4.719626168224299,3.7379912663755457,4.056034482758621
Canada,DevOps specialist,1.8064516129032258,31,4.827586206896552,3.967741935483871,4.290322580645161
Canada,"Developer, back-end",1.8511904761904763,840,4.773013871374527,3.9021479713603817,4.152954808806489
Canada,"Developer, front-end",1.8732876712328768,146,4.840579710144928,3.885135135135135,4.0519480519480515
Canada,"Developer, full-stack",1.785,500,4.802150537634408,3.9503968253968256,4.181286549707602
China,Academic researcher,1.763157894736842,19,4.0,3.3684210526315788,3.1818181818181817
China,Data or business analyst,1.35,20,4.0,3.3,3.9
China,Data scientist & ML,1.3125,16,3.8461538461538463,3.3125,3.4375
China,Database administrator,1.4318181818181819,22,3.95,3.227272727272727,3.590909090909091
China,DevOps specialist,1.3,5,4.0,3.2,3.8
